companyName,tagline,Website,Verified page,Industry,Company size,Headquarters,Founded,Specialties
Zomato,NULL,https://www.zomato.com/,"August 16, 2023","Technology, Information and Internet","1,001-5,000 employees","Gurugram, Haryana",2008,"Restaurant Search & Discovery, Table Reservations, Restaurant POS System, Ingredients supply, Digital advertising, Restaurant Rating and Reviews, Food ordering online, Ecommerce, Online Classifieds, Startups, Internet services, Online consumer insights, Technology, Farming, Sustainability, Food, Sales, Technology, Operations, Logistics, Delivery, New business development, and Engineering"
InLighnX Global Private Limited,NULL,https://inlighnxglobal.com/,NULL,Education,11-50 employees,NULL,NULL,NULL
